"","BAND","PREFIXNUMB","BANDNUMBER","RECAP","SPECIESCOD","SPECIESNUM","STATUS","REMARKCD","AGE","SEX","WT","CULMEN","TARSUS","DATE","WING","NASALCODE","TARSALCODE","MAP_NO","FREQUENCY","NEST_NO","EASTING","NORTHING","COMMENTS","LEAD","XRAY","DNA","WAES"
"1",0,"1347","57914",FALSE,"SPEI","1580",NA,"245","AHY","F",1400,260,600,1994-06-11,249,"E53","7E","0",NA,"TLM091",502500,6744000,"BOWTRAP",FALSE,FALSE,FALSE,FALSE
"2",NA,"1037","52950",TRUE,"SPEI","1580",NA,"249","ATY","F",1225,309,581,1994-06-15,252,"E55","5J","16",NA,"TLM012",503000,6745500,"CAUGHT WITH MIST NET",TRUE,FALSE,TRUE,FALSE
"3",NA,"1347","57911",TRUE,"SPEI","1580",NA,"249","ASY","F",1250,263,582,1994-06-15,251,"E56","9C","16",NA,"TLM073",503000,6745500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"4",NA,"1037","52967",TRUE,"SPEI","1580",NA,"249","ATY","F",1100,241,562,1994-06-15,241,"E57","J6","12",NA,"TLM017",500500,6745500,"MISTNET",TRUE,FALSE,TRUE,FALSE
"5",NA,"1037","52954",TRUE,"SPEI","1580",NA,"249","ATY","F",1025,264,556,1994-06-15,260,"E63","A0","6",NA,"TLM053",5e+05,6746000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"6",NA,"1037","52952",TRUE,"SPEI","1580",NA,"245","ATY","F",1025,253,549,1994-06-15,252,"E64","JZ","0",NA,"TLM001",499500,6745000,"CAUGHT W/BROOD IN POND MISTNET",FALSE,FALSE,TRUE,FALSE
"7",NA,"1347","46068",TRUE,"SPEI","1580",NA,"249","ASY","F",1150,250,565,1994-06-16,239,"E58","E2","27",NA,"ADS010",502000,6743500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"8",NA,"1347","57919",FALSE,"SPEI","1580",NA,"249","AHY","F",1060,261,572,1994-06-16,257,"E59","YX","29",NA,"TLM007",500500,6743500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"9",NA,"1347","57920",FALSE,"SPEI","1580",NA,"249","AHY","F",1190,270,562,1994-06-16,249,"E60","YY","25",NA,"TLM021",5e+05,6744500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"10",NA,"1347","57921",FALSE,"SPEI","1580",NA,"249","AHY","F",1150,263,599,1994-06-17,251,"E61","YZ","20",NA,"TLM023",5e+05,6744000,"MIST NETTED",TRUE,FALSE,TRUE,FALSE
"11",NA,"1347","46095",TRUE,"SPEI","1580",NA,"249","ASY","F",1110,278,576,1994-06-17,260,"E62","J4","24",NA,"KSB001",5e+05,6744000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"12",NA,"1347","46092",TRUE,"SPEI","1580",NA,"249","ASY","F",1150,229,595,1994-06-17,253,"E66","J1","24",NA,"KSB002",5e+05,6744000,"CULMEN CORRECT; HEN RELEASED 1730;BOWTR",TRUE,FALSE,TRUE,FALSE
"13",NA,"1347","46081",TRUE,"SPEI","1580",NA,"249","ASY","F",1140,267,550,1994-06-17,250,"E68","6K","19",NA,"TLM019",5e+05,6744500,"BOW NET NEST TRAPPED",TRUE,FALSE,TRUE,FALSE
"14",NA,"1347","57922",FALSE,"SPEI","1580",NA,"249","AHY","F",1220,259,584,1994-06-17,256,"E69","AA","21",NA,"ADS008",501000,6744500,"HEN MIST NETTED ON NEST;RELEASED 1927",TRUE,FALSE,TRUE,FALSE
"15",NA,"1347","57916",FALSE,"SPEI","1580",NA,"249","AHY","F",1200,265,608,1994-06-17,245,"E65","LE","15",NA,"ADS002",502500,6745000,"USED MISTNET",TRUE,FALSE,TRUE,FALSE
"16",NA,"1347","46085",TRUE,"SPEI","1580",NA,"249","ASY","F",1075,270,601,1994-06-17,254,"E17","C2","15",NA,"TLM014",502500,6745000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"17",NA,"1347","57915",FALSE,"SPEI","1580",NA,"249","AHY","F",1100,241,537,1994-06-17,246,"E67","YL","0",NA,"TLM097",501000,6746000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"18",NA,"1347","57927",FALSE,"SPEI","1580",NA,"245","AHY","F",1300,285,575,1994-06-17,242,"E77","LR","12",NA,"TLM075",500500,6745500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"19",NA,"1347","46076",TRUE,"SPEI","1580",NA,"249","ASY","F",1150,264,583,1994-06-17,259,"E74","E1","8",NA,"ADS001",499500,6745500,"MISTNET",FALSE,FALSE,FALSE,FALSE
"20",NA,"1347","57918",FALSE,"SPEI","1580",NA,"245","AHY","F",1150,266,553,1994-06-17,254,"E75","YA","3",NA,"ADS003",500500,6756000,"BOWTRAP",FALSE,FALSE,FALSE,FALSE
"21",NA,"1037","52962",TRUE,"SPEI","1580",NA,"245","ATY","F",0,255,535,1994-06-17,258,"E76","ZK","12",NA,"TLM016",501000,6745500,"MISTNET",FALSE,FALSE,FALSE,FALSE
"22",NA,"1037","52995",TRUE,"SPEI","1580",NA,"249","ATY","F",1100,260,569,1994-06-18,257,"E70","J9","6",NA,"TLM031",502500,6745000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"23",NA,"1347","57923",FALSE,"SPEI","1580",NA,"249","AHY","F",1190,223,581,1994-06-18,253,"E72","YK","17",NA,"ADS014",502500,6744500,"MISTNET",TRUE,FALSE,TRUE,FALSE
"24",NA,"1347","46074",TRUE,"SPEI","1580",NA,"249","ASY","F",1240,257,550,1994-06-18,258,"E71","E7","28",NA,"ADS017",503000,6745000,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"25",NA,"1347","57932",FALSE,"COEI","1590",NA,NA,"AHY","F",1650,524,608,1994-06-19,294,NA,NA,"3",NA,"KSB015",500500,6746000,"BOWTRAP",TRUE,FALSE,FALSE,FALSE
"26",NA,"1347","46069",TRUE,"SPEI","1580",NA,"245","ASY","F",1060,242,548,1994-06-20,242,"E86","Y1","34",NA,"KSB017",502500,6744000,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"27",NA,"1347","57925",FALSE,"SPEI","1580",NA,"249","AHY","F",1225,276,564,1994-06-18,255,"E79","YJ","23",NA,"TLM042",502500,6744500,"MISTNET",FALSE,FALSE,TRUE,FALSE
"28",NA,"1037","52953",TRUE,"SPEI","1580",NA,"249","ATY","F",1150,240,583,1994-06-18,246,"E78","4J","27",NA,"TLM047",501500,6744000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"29",NA,"1347","57926",FALSE,"SPEI","1580",NA,"249","AHY","F",1150,231,581,1994-06-19,259,"E80","0A","23",NA,"TLM043",502500,6744500,"MISTNET",TRUE,FALSE,TRUE,FALSE
"30",NA,"1347","57928",FALSE,"SPEI","1580",NA,"245","AHY","F",1025,269,579,1994-06-19,250,"E81","5C","0",NA,"KSB006",501000,6745000,"BOWTRAP",FALSE,FALSE,FALSE,FALSE
"31",NA,"1347","57936",FALSE,"COEI","1590",NA,"108","AHY","F",0,0,0,1994-06-19,0,NA,NA,"0",NA,NA,503500,6744500,"MISTNET",TRUE,FALSE,FALSE,FALSE
"32",NA,"1347","57937",FALSE,"COEI","1590",NA,NA,"AHY","F",0,0,0,1994-06-19,0,NA,NA,"0",NA,NA,503500,6744500,"MISTNET",TRUE,FALSE,FALSE,FALSE
"33",NA,"1347","57929",FALSE,"SPEI","1580",NA,"249","AHY","F",1150,254,576,1994-06-20,251,"E87","LA","13",NA,"TLM029",5e+05,6745000,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"34",NA,"1347","57943",FALSE,"SPEI","1580",NA,"249","AHY","F",1250,266,56,1994-06-22,245,"E88","LF","33",NA,"TLM067",501000,6743500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"35",NA,"1347","46093",TRUE,"SPEI","1580",NA,"249","ASY","F",1250,237,539,1994-06-22,253,"E96","J0","25",NA,"TLM079",5e+05,6744000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"36",NA,"1347","57944",FALSE,"SPEI","1580",NA,"249","AHY","F",1250,267,557,1994-06-22,254,"E95","6E","14",NA,"ADS040",500500,6745500,"BOWTRAP; SEE NOTES",TRUE,FALSE,TRUE,FALSE
"37",NA,"1347","46082",TRUE,"SPEI","1580",NA,"249","ASY","F",1100,243,553,1994-06-23,249,"J02","E6","2",NA,"TLM052",5e+05,6747000,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"38",NA,"1037","52968",TRUE,"SPEI","1580",NA,"249","ATY","F",1075,253,558,1994-06-23,244,"E98","0J","0",NA,"KSB011",502500,6744000,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"39",NA,"1347","57924",FALSE,"SPEI","1580",NA,"245","AHY","F",1075,258,591,1994-06-19,246,"E73","YV","19",NA,"TLM020",5e+05,6744500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"40",NA,"1037","52972",TRUE,"SPEI","1580",NA,"249","ATY","F",1150,232,582,1994-06-19,247,"E84","K5","3",NA,"ADS032",501000,6746500,"MISTNET",TRUE,FALSE,TRUE,FALSE
"41",NA,"1037","52966",TRUE,"SPEI","1580",NA,"249","ATY","F",1150,262,561,1994-06-23,260,"E99","K9","0",NA,"TLM096",499500,6745000,"92 TRAPPED;MISTNET",TRUE,FALSE,TRUE,FALSE
"42",NA,"1347","57940",FALSE,"SPEI","1580",NA,"245","AHY","F",1125,241,565,1994-06-26,255,"E00","3E","17",NA,"TLM083",502500,6745000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"43",NA,"1037","52990",TRUE,"SPEI","1580",NA,"249","TY","F",1150,252,539,1994-06-27,250,"J03","1E","18",NA,"KSB014",502500,6745000,"BOWTRAP;RED LEG BAND",TRUE,FALSE,TRUE,FALSE
"44",NA,"1347","46090",TRUE,"SPEI","1580",NA,"249","ASY","F",950,263,571,1994-06-27,244,"J01","C6","12",NA,"ADS031",501500,6745500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"45",NA,"1347","57907",TRUE,"SPEI","1580",NA,"249","ASY","F",1150,263,545,1994-06-27,254,"JO4","6C","0",NA,"TLM099",499500,6745500,"OLD BANDS;BOWTRAP",TRUE,FALSE,TRUE,FALSE
"46",NA,"1347","57930",FALSE,"SPEI","1580",NA,"249","AHY","F",1080,258,582,1994-06-19,246,"E82","YT","9",NA,"TDB004",5e+05,6746000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"47",NA,"1347","57933",FALSE,"SPEI","1580",NA,"249","AHY","F",1150,281,583,1994-06-19,244,"E85","YN","3",NA,"KSB016",500500,6746000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"48",NA,"1347","57935",FALSE,"SPEI","1580",NA,"245","AHY","F",1175,250,566,1994-06-22,260,"E91","7A","15",NA,"ADS030",502500,6745000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"49",NA,"1347","57910",TRUE,"SPEI","1580",NA,"249","ASY","F",1050,251,568,1994-06-22,255,"E89","3C","34",NA,"TLM088",502000,6744000,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"50",NA,"1347","57934",FALSE,"SPEI","1580",NA,"245","AHY","F",1350,258,586,1994-06-22,255,"E90","YF","15",NA,"ADS046",503000,6745000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"51",NA,"1347","57938",FALSE,"SPEI","1580",NA,"249","AHY","F",1150,253,547,1994-06-23,245,"E92","YH","26",NA,"ADS035",501000,6744000,"MISTNET",TRUE,FALSE,TRUE,FALSE
"52",NA,"1347","57939",FALSE,"SPEI","1580",NA,"249","AHY","F",975,262,579,1994-06-23,248,"E93","3J","0",NA,"KSB009",500500,6743500,"MISTNET",TRUE,FALSE,TRUE,FALSE
"53",NA,"1347","57945",FALSE,"SPEI","1580",NA,"249","AHY","F",1275,299,578,1994-06-22,250,"E97","7J","25",NA,NA,5e+05,6744000,"1 OF 4 FLYING HENS",TRUE,FALSE,TRUE,FALSE
"54",NA,"1347","57941",FALSE,"SPEI","1580",NA,"249","AHY","F",1250,292,571,1994-06-28,259,"J05","6J","12",NA,"TDB002",500500,6745500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"55",NA,"1347","57931",FALSE,"SPEI","1580",NA,"245","AHY","F",1030,253,593,1994-06-19,256,"E83","YP","11",NA,"TLM082",499500,6746000,"BOWTRAP",TRUE,FALSE,TRUE,TRUE
"56",NA,"1347","57908",TRUE,"SPEI","1580",NA,"249","ASY","F",1125,261,569,1994-06-27,257,"E94","2C","23",NA,"KSB005",502500,6744500,"BOWTRAP",TRUE,FALSE,TRUE,FALSE
"57",NA,"1347","46072",TRUE,"SPEI","1580",NA,"245","ASY","F",1250,253,574,1994-06-13,244,"E54","4K","25",NA,"TLM026",5e+05,6744000,"BOWTRAP",FALSE,FALSE,FALSE,FALSE
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
